"수집시각","체인","지점","우편번호","카테고리","행사기간","상품명","상품정보","행사가격","앱가격","할인율","기준가격","출처"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Weihenstephan Butter oder Streichzart","250 g | 3.96 / kg | gekühlt, versch. Sorten","0.99","","-64 %","UVP 2.79","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Tassimo Kaffee-Kapseln","128 g - 268 g | 16.01 - 33.52 / kg | versch. Sorten","4.29","","-38 %","UVP 6.99","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Wiener Würstchen","2 x 200 g | 6.23 / kg | über Buchenholz geräuchert Regionale Verpackungsabweichungen möglich","2.49","2.29","-23% / -16 %","statt 2.99","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Bio Möhren","1 kg Beutel | Deutschland, Kl. II","1.11","","-34 %","UVP 1.69","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","YouCook Fertiggericht","350 g - 440 g | 8.61 - 10.83 / kg | gekühlt, versch. Sorten","3.79","","-24 %","UVP 4.99","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Berliner","Stück | Heidelbeere oder Pflaume Gilt nur in Filialen mit Backautomat!","0.99","","","Aktion","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Mon Cheri","157 g | 17.77 / kg","2.79","","-30 %","UVP 3.99","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Sprite, Fanta oder Mezzo Mix","6 x 1,25 l | 0.80 / l | teilweise koffeinhaltig, versch. Sorten Einzelpreis: 1.59 zzgl. Pfand 0.25 (1.27 / l)","5.99","","-37 %","statt 9.54","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Hackfleisch gemischt","800 g | 6.86 / kg | aus 50% Schwein und 50% Rind","5.49","","-15 %","UVP 6.49","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Danone Actimel","12 x 100 g | 2.49 / kg | gekühlt, versch. Sorten","2.99","2.79","-53% / -50 %","UVP 5.98","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Knoppers Waffel oder Riegel","200 - 225 g | 7.51 - 8.45 / kg | versch. Sorten","1.69","","-32 %","statt 2.49","https://www.netto-online.de/filialangebote"
"2026-09-07 18:27 Europe/Berlin","Netto","Rahmer Str. 8, 44369 Dortmund","44369","Knüller der Woche","07.09.2026-12.09.2026","Ramazzotti Kräuterlikör oder Arancia","0,7 l | 14.27 / l | 0.0 – 30 % Vol.","9.99","","-28 %","UVP 13.99","https://www.netto-online.de/filialangebote"
